stack	cell	time	area	perimeter	circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	junction_not_tracable	replicate
5	1	0	303.425	67.99	0.825	22.966	1281.333	926.333	62.669	19.96	1.123	0.89	0.944	yes	1
5	1	10	328.505	70.34	0.834	23.878	1209.333	776.333	161.209	20.41	1.115	0.897	0.948	yes	1
5	1	50	340.476	71.774	0.831	24.096	1278.667	933.667	62.897	20.974	1.077	0.928	0.951	yes	1
5	1	100	353.75	73.716	0.818	24.747	1273.333	934.333	62.164	21.549	1.062	0.941	0.944	yes	1
5	1	200	355.452	73.637	0.824	25.163	1273.333	938	62.663	21.73	1.055	0.948	0.952	yes	1
5	2	0	132.512	43.881	0.865	15.34	862	921.5	21.219	11.731	1.098	0.911	0.982	yes	1
5	2	10	143.063	45.292	0.876	15.951	858.5	921.75	20.681	12.04	1.093	0.915	0.998	yes	1
5	2	50	151.337	46.01	0.898	16.197	858.25	924.5	24.079	12.682	1.079	0.927	0.994	yes	1
5	2	100	156.008	46.856	0.893	16.265	857	923.75	21.695	13.065	1.089	0.918	0.984	yes	1
5	2	200	159.294	47.221	0.898	16.424	854	923.75	26.438	13.065	1.099	0.91	0.985	yes	1
5	3	0	171.605	53.054	0.766	20.279	1060.667	1346.667	48.104	12.596	1.593	0.628	0.932	no	1
5	3	10	192.59	54.607	0.812	20.63	1059	1349	47.767	13.519	1.518	0.659	0.954	no	1
5	3	50	205.711	56.182	0.819	21.28	1058.667	1351.333	48.302	13.94	1.489	0.672	0.966	no	1
5	3	100	216.473	56.934	0.839	21.283	1058	1352	46.994	14.42	1.456	0.687	0.967	no	1
5	3	200	223.831	57.748	0.843	21.67	1058.667	1353.333	48.581	14.758	1.45	0.689	0.975	no	1
5	4	0	76.508	33.54	0.855	12.008	1391.75	1503.25	75.901	8.24	1.331	0.751	0.976	no	1
5	4	10	87.915	35.499	0.877	12.934	1390.75	1508	75.818	8.843	1.307	0.765	0.992	no	1
5	4	50	95.931	36.989	0.881	13.368	1392	1510	76.527	9.411	1.295	0.772	0.991	no	1
5	4	100	98.384	37.301	0.889	13.585	1392	1512	76.629	9.39	1.289	0.776	0.998	no	1
5	4	200	102.48	37.775	0.902	13.512	1390.75	1511.25	74.181	9.704	1.269	0.788	0.997	no	1
6	1	0	220.604	56.279	0.875	20.078	1264.5	722.5	129.746	15.441	1.289	0.776	0.985	no	1
6	1	10	243.888	58.03	0.91	20.535	1256	729.5	133.717	16.48	1.245	0.803	0.997	no	1
6	1	50	258.441	59.628	0.913	20.889	1264	720.5	129.634	16.469	1.284	0.779	1.003	no	1
6	1	100	262.854	60.516	0.902	21.269	1265.5	716.5	127.862	16.944	1.266	0.79	1	no	1
6	1	200	272.336	61.799	0.896	21.725	1243.5	737	136.515	17.181	1.312	0.762	1	no	1
7	3	0	119.755	41.409	0.878	14.791	1072.5	1099.25	99.273	10.706	1.258	0.795	0.973	no	1
7	3	10	131.292	43.112	0.888	15.201	1072	1096.75	99.848	11.375	1.235	0.81	0.984	no	1
