"stack","cell","time","length","replicate"
1,1,0,11.763,1
1,1,10,11.804,1
1,1,50,12.334,1
1,1,100,12.248,1
1,1,200,12.266,1
1,2,0,10.707,1
1,2,10,11.826,1
1,2,50,12.017,1
1,2,100,11.725,1
1,2,200,11.918,1
1,3,0,8.496,1
1,3,10,9.903,1
1,3,50,10.128,1
1,3,100,9.815,1
1,3,200,10.362,1
1,4,0,7.933,1
1,4,10,9.439,1
1,4,50,9.636,1
1,4,100,9.857,1
1,4,200,9.738,1
2,1,0,12.9,1
2,1,10,14.25,1
2,1,50,14.855,1
2,1,100,14.991,1
2,1,200,15.528,1
2,2,0,6.584,1
2,2,10,8.273,1
2,2,50,8.452,1
2,2,100,9.117,1
2,2,200,9.639,1
2,3,0,12.076,1
2,3,10,12.624,1
2,3,50,12.901,1
2,3,100,13.192,1
2,3,200,13.565,1
4,1,0,11.986,1
4,1,10,12.278,1
4,1,50,12.424,1
4,1,100,12.359,1
4,1,200,12.628,1
4,2,0,12.953,1
4,2,10,13.961,1
4,2,50,14.493,1
4,2,100,14.843,1
4,2,200,15.152,1
4,3,0,12.368,1
4,3,10,14.241,1
4,3,50,14.879,1
4,3,100,15.176,1
4,3,200,15.839,1
4,4,0,7.171,1
4,4,10,10.239,1
4,4,50,11.418,1
4,4,100,11.929,1
4,4,200,12.647,1
4,5,0,13.591,1
4,5,10,14.804,1
4,5,50,15.325,1
4,5,100,15.504,1
4,5,200,15.77,1
4,6,0,14.052,1
4,6,10,15.783,1
4,6,50,16.36,1
4,6,100,16.581,1
4,6,200,17.154,1
1,1,0,10.248,2
1,1,10,10.346,2
1,1,50,10.535,2
1,1,100,10.813,2
1,1,200,11.592,2
1,2,0,10.553,2
1,2,10,11.408,2
1,2,50,11.764,2
1,2,100,12.004,2
1,2,200,13.363,2
1,3,0,10.983,2
1,3,10,11.733,2
1,3,50,11.874,2
1,3,100,12.198,2
1,3,200,12.94,2
2,1,0,13.019,2
2,1,10,14.906,2
2,1,50,14.799,2
2,1,100,14.988,2
2,1,200,15.776,2
2,2,0,7.512,2
2,2,10,8.206,2
2,2,50,8.632,2
2,2,100,8.559,2
2,2,200,8.885,2
2,3,0,13.068,2
2,3,10,13.556,2
2,3,50,13.541,2
2,3,100,12.746,2
2,3,200,13.96,2
2,4,0,14.083,2
2,4,10,14.273,2
2,4,50,14.436,2
2,4,100,14.436,2
2,4,200,14.571,2
2,5,0,11.342,2
2,5,10,11.972,2
2,5,50,12.387,2
2,5,100,12.833,2
2,5,200,12.85,2
3,1,0,10.5,2
3,1,10,11.679,2
3,1,50,11.929,2
3,1,100,11.979,2
3,1,200,12.047,2
3,2,0,10.855,2
3,2,10,11.495,2
3,2,50,11.981,2
3,2,100,12.563,2
3,2,200,13.567,2
3,3,0,8.895,2
3,3,10,10.502,2
3,3,50,11.021,2
3,3,100,11.456,2
3,3,200,12.377,2
3,4,0,12.427,2
3,4,10,13.167,2
3,4,50,13.413,2
3,4,100,13.349,2
3,4,200,13.663,2
1,1,0,11.87,3
1,1,10,12.008,3
1,1,50,12.213,3
1,1,100,12.264,3
1,1,200,12.351,3
1,2,0,6.177,3
1,2,10,6.971,3
1,2,50,7.703,3
1,2,100,8.865,3
1,2,200,8.862,3
1,3,0,8.836,3
1,3,10,9.961,3
1,3,50,10.584,3
1,3,100,10.719,3
1,3,200,11.832,3
1,4,0,10.069,3
1,4,10,10.974,3
1,4,50,11.462,3
1,4,100,11.645,3
1,4,200,11.941,3
1,5,0,8.018,3
1,5,10,8.134,3
1,5,50,8.349,3
1,5,100,8.876,3
1,5,200,8.567,3
1,6,0,4.96,3
1,6,10,6.574,3
1,6,50,6.826,3
1,6,100,6.333,3
1,6,200,7.014,3
2,1,0,14.432,3
2,1,10,14.791,3
2,1,50,14.886,3
2,1,100,15.113,3
2,1,200,14.931,3
3,1,0,10.522,3
3,1,10,11.171,3
3,1,50,11.771,3
3,1,100,11.754,3
3,1,200,11.612,3
3,2,0,14.619,3
3,2,10,15.477,3
3,2,50,14.611,3
3,2,100,14.916,3
3,2,200,15.07,3
3,3,0,9.444,3
3,3,10,9.671,3
3,3,50,9.858,3
3,3,100,10.058,3
3,3,200,10.241,3
