stack	cell	time	area	perimeter	circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity	junction_not_tracable	replicate
11	1	0	132.865	53.692	0.579	19.624	896.667	947	60.935	11.478	1.718	0.582	0.847	yes	1
11	1	10	144.413	54.562	0.61	19.71	894.333	946.333	61.792	11.659	1.688	0.592	0.864	yes	1
11	1	50	160.808	54.553	0.679	20.339	894	949.667	61.933	12.112	1.635	0.612	0.919	yes	1
11	1	100	172.814	55.605	0.702	20.257	881.333	942.333	57.67	13.255	1.551	0.645	0.882	yes	1
11	1	200	176.652	55.937	0.709	20.676	889.667	949	60.838	13.349	1.554	0.644	0.886	yes	1
11	2	0	47.402	28.146	0.752	11.009	1167.5	820.833	129.276	6.046	1.928	0.519	0.95	no	1
11	2	10	58.117	29.493	0.84	11.417	1166.333	818.5	131.987	6.812	1.691	0.591	0.975	no	1
11	2	50	62.19	30.08	0.864	11.479	1166.333	818.5	137.805	7.232	1.604	0.623	0.979	no	1
11	2	100	67.8	31.018	0.886	12.073	1166.5	815.167	137.121	7.495	1.571	0.636	0.993	no	1
11	2	200	71.039	31.965	0.874	12.134	1168.167	815.333	136.688	7.513	1.567	0.638	0.981	no	1
11	3	0	59.314	35.836	0.58	12.73	1098	991.833	134.253	8.074	1.282	0.78	0.802	yes	1
11	3	10	73.926	37.734	0.652	13.192	1099.333	989	133.614	8.636	1.236	0.809	0.856	yes	1
11	3	50	82.27	38.341	0.703	13.417	1098.333	987.667	130.743	9.306	1.212	0.825	0.878	yes	1
11	3	100	86.589	38.98	0.716	13.513	1097.5	991.167	133.376	9.71	1.178	0.849	0.89	yes	1
11	3	200	95.626	40.314	0.739	14.728	1097.667	987.667	132.019	10.021	1.202	0.832	0.912	yes	1
11	4	0	72.095	37.567	0.642	12.771	932	1202.333	149.592	9.746	1.306	0.766	0.826	no	1
11	4	10	88.056	39.769	0.7	14.203	926.667	1200.333	151.61	10.384	1.289	0.776	0.866	no	1
11	4	50	103.301	41.328	0.76	14.693	927.667	1200.667	151.041	10.739	1.306	0.766	0.923	no	1
11	4	100	105.496	41.099	0.785	14.31	927	1201.667	144.345	11.11	1.243	0.805	0.921	no	1
11	4	200	108.348	41.513	0.79	14.512	927	1202.667	144.214	11.442	1.215	0.823	0.928	no	1
11	5	0	67.166	31.762	0.837	10.92	1549.75	1309.25	48.72	8.826	1.059	0.944	0.975	no	1
11	5	10	77.188	32.791	0.902	11.376	1548	1306.75	45	9.468	1.067	0.937	0.993	no	1
11	5	50	84.594	34.067	0.916	11.644	1550.25	1311.25	45.188	9.714	1.049	0.953	0.989	no	1
11	5	100	85.615	34.453	0.906	12.066	1548.5	1311.25	45.728	9.779	1.091	0.917	0.991	no	1
11	5	200	91.706	35.563	0.911	12.101	1558.25	1233.25	137.994	10.302	1.037	0.964	0.995	no	1
11	6	0	64.912	32.881	0.754	12.295	1283.167	1472.667	8.19	6.773	1.799	0.556	0.951	no	1
11	6	10	81.085	34.161	0.873	12.931	1280.333	1475.667	6.897	7.852	1.618	0.618	0.993	no	1
11	6	50	91.342	35.821	0.895	12.949	1278.333	1455.5	176.723	8.657	1.504	0.665	0.99	no	1
11	6	100	96.025	36.269	0.917	13.311	1277.5	1481	12.773	8.983	1.475	0.678	1	no	1
11	6	200	100.414	37.877	0.88	13.677	1274	1446.5	172.49	9.4	1.465	0.682	0.985	no	1
12	1	0	160.28	51.259	0.767	19.721	1112	777	131.66	12.992	1.578	0.634	0.954	no	1
12	1	10	166.524	51.61	0.786	20.293	1113	773	130.236	12.334	1.578	0.634	0.973	no	1
12	1	50	191.134	53.348	0.844	20.386	1112	775	133.277	13.358	1.508	0.663	0.981	no	1
12	1	100	200.253	54.728	0.84	20.681	1111	771	130.113	13.48	1.465	0.683	0.968	no	1
12	1	200	200.253	54.527	0.846	20.293	1111	775	130.236	13.969	1.455	0.687	0.983	no	1
12	2	0	106.071	38.142	0.916	13.896	921	969.333	141.224	10.052	1.307	0.765	0.999	yes	1
12	2	10	116.575	39.433	0.942	14.173	919.667	969.333	141.933	11.055	1.245	0.803	0.999	yes	1
12	2	50	121.527	40.171	0.946	14.395	917.667	972	143.877	11.329	1.223	0.818	0.998	yes	1
12	2	100	126.82	40.738	0.96	14.411	921.333	963	142.125	11.631	1.186	0.843	0.997	yes	1
12	2	200	131.879	41.516	0.962	14.569	917.667	965.667	140.431	11.893	1.179	0.848	1.001	yes	1
12	3	0	52.155	32.372	0.625	12.802	1549.75	1196.75	79.641	6.189	2.209	0.453	0.878	yes	1
12	3	10	57.636	33.046	0.663	12.886	1558.5	1198	78.973	6.157	2.105	0.475	0.907	yes	1
12	3	50	66.638	34.081	0.721	13.058	1556.5	1199.25	86.075	6.9	1.908	0.524	0.941	yes	1
12	3	100	68.551	34.924	0.706	13.447	1544.25	1199	72.295	6.946	1.965	0.509	0.939	yes	1
12	3	200	77.141	36.152	0.742	13.936	1555.75	1206	85.542	7.327	1.942	0.515	0.941	yes	1
12	4	0	54.397	29.603	0.78	11.035	1226.5	1162.5	106.834	7.003	1.702	0.587	0.999	yes	1
12	4	10	60.359	30.534	0.814	11.452	1234.5	1160	96.654	7.278	1.614	0.619	1.002	yes	1
12	4	50	68.328	32.071	0.835	11.877	1236.5	1158.75	92.875	7.745	1.591	0.629	0.998	yes	1
12	4	100	73.327	33.102	0.841	12.052	1231.25	1160.5	101.537	8.023	1.553	0.644	0.998	yes	1
12	4	200	77.095	33.756	0.85	12.277	1227.5	1160.25	105.876	8.357	1.495	0.669	1.002	yes	1
12	5	0	102.55	41.543	0.747	14.699	915.75	1199.5	128.116	10.62	1.351	0.74	0.951	yes	1
12	5	10	112.455	42.657	0.777	14.963	913.5	1198.75	129.713	11.221	1.31	0.764	0.957	yes	1
12	5	50	126.316	44.065	0.817	15.465	931.75	1335.25	89.799	11.731	1.28	0.781	0.98	yes	1
12	5	100	132.02	45.728	0.793	15.764	921	1337	85.171	12.643	1.268	0.788	0.948	yes	1
12	5	200	138.04	45.971	0.821	15.986	926.25	1340	88.35	12.709	1.25	0.8	0.963	yes	1
12	6	0	49.127	26.747	0.863	8.968	1328.833	1499.5	76.02	7.478	1.153	0.867	0.96	no	1
12	6	10	53.376	27.142	0.91	9.376	1323.667	1500.333	72.402	7.491	1.109	0.902	0.994	no	1
12	6	50	62.636	29.335	0.915	9.859	1318.667	1501.833	69.972	8.135	1.137	0.879	0.989	no	1
12	6	100	65.1	29.576	0.935	10.088	1335.167	1509.833	78.75	8.048	1.169	0.856	0.997	no	1
12	6	200	68.316	30.541	0.92	10.334	1336	1512.5	82.167	8.342	1.139	0.878	0.986	no	1
4	1	0	157.851	49.481	0.81	17.75	989	786	17.218	12.76	1.385	0.722	0.959	no	2
4	1	10	177.638	51.966	0.827	18.039	985.5	788	14.787	14.048	1.296	0.772	0.978	no	2
4	1	50	198.575	54.28	0.847	19.025	983	778	13.166	14.797	1.297	0.771	0.969	no	2
4	1	100	196.063	54.012	0.845	18.88	984.5	785.5	14.794	14.603	1.27	0.788	0.978	no	2
4	1	200	205.077	55.311	0.842	19.359	984	789.5	17.421	14.951	1.23	0.813	0.971	no	2
4	2	0	148.344	53.792	0.644	19.872	1353	1278.667	3.96	13.505	1.652	0.605	0.876	yes	2
4	2	10	173.014	54.667	0.728	19.861	1352.333	1260	179.792	13.982	1.602	0.624	0.914	yes	2
4	2	50	186.663	55.21	0.77	20.776	1345.667	1260	178.008	14.385	1.528	0.654	0.955	yes	2
4	2	100	189.679	56.157	0.756	20.629	1347.667	1262	178.295	14.379	1.586	0.63	0.952	yes	2
4	2	200	213.703	59.23	0.765	21.786	1336.333	1259.333	178.195	14.989	1.64	0.61	0.936	yes	2
5	1	0	90.65	36.02	0.878	13.677	877	1126.667	69.603	9.169	1.402	0.713	0.995	yes	2
5	1	10	100.262	37.835	0.88	14.6	875.667	1130.333	67.304	9.756	1.363	0.734	0.999	yes	2
5	1	50	106.893	39.131	0.877	14.751	872.333	1129.667	66.636	10.439	1.307	0.765	1	yes	2
5	1	100	108.676	38.892	0.903	14.794	874.333	1132.333	64.248	10.037	1.387	0.721	1.005	yes	2
5	1	200	102.867	37.912	0.899	14.725	873.333	1130.667	65.823	9.588	1.453	0.688	1.003	yes	2
5	2	0	107.808	39.547	0.866	14.987	1498	1042.333	119.283	9.997	1.467	0.682	0.988	yes	2
5	2	10	111.763	40.284	0.865	15.125	1483	1049.333	125.967	9.509	1.505	0.664	0.995	yes	2
5	2	50	128.37	41.682	0.928	14.915	1478.333	1049.667	136.177	10.856	1.312	0.762	1	yes	2
5	2	100	128.287	41.793	0.923	14.919	1475.333	1051.333	133.235	11.201	1.255	0.797	0.997	yes	2
5	2	200	123.17	40.691	0.935	14.685	1468.667	1054	145.216	11.019	1.253	0.798	1.002	yes	2
5	3	0	84.676	33.658	0.939	11.436	1326.25	1446.5	36.137	10.01	1.09	0.918	0.988	no	2
5	3	10	88.678	34.349	0.944	11.408	1328	1449	52.912	10.225	1.06	0.944	0.995	no	2
5	3	50	94.241	35.054	0.964	11.795	1314.75	1387	160.691	10.715	1.038	0.964	1.005	no	2
5	3	100	98.971	35.882	0.966	11.984	1324.25	1449.25	50.41	10.767	1.05	0.952	0.993	no	2
5	3	200	104.463	36.866	0.966	12.247	1322.5	1447.75	53.181	11.158	1.071	0.933	1.002	no	2
6	1	0	119.251	43.823	0.78	15.293	778.5	651.5	49.597	12.097	1.183	0.845	0.944	no	2
