"stack","cell","time","length","replicate"
6,1,0,12.771,1
6,1,10,13.117,1
6,1,50,13.532,1
6,1,100,14.508,1
6,1,200,14.863,1
7,1,0,7.788,1
7,1,10,8.963,1
7,1,50,9.652,1
7,1,100,10.026,1
7,1,200,10.894,1
7,2,0,8.004,1
7,2,10,8.984,1
7,2,50,10.169,1
7,2,100,10.351,1
7,2,200,11.295,1
9,1,0,8.004,1
9,1,10,8.022,1
9,1,50,8.715,1
9,1,100,8.911,1
9,1,200,9.415,1
9,2,0,10.128,1
9,2,10,10.707,1
9,2,50,11.656,1
9,2,100,11.889,1
9,2,200,12.294,1
9,3,0,9.631,1
9,3,10,10.173,1
9,3,50,10.883,1
9,3,100,11.417,1
9,3,200,12.161,1
9,4,0,11.031,1
9,4,10,11.671,1
9,4,50,11.795,1
9,4,100,12.357,1
9,4,200,12.716,1
9,5,0,10.001,1
9,5,10,10.301,1
9,5,50,10.399,1
9,5,100,10.516,1
9,5,200,10.662,1
10,1,0,6.395,1
10,1,10,7.677,1
10,1,50,7.945,1
10,1,100,8.261,1
10,1,200,8.48,1
10,2,0,10.524,1
10,2,10,11.767,1
10,2,50,12.328,1
10,2,100,12.289,1
10,2,200,13.208,1
10,3,0,7.214,1
10,3,10,8.598,1
10,3,50,8.901,1
10,3,100,9.731,1
10,3,200,9.669,1
10,4,0,7.196,1
10,4,10,8.249,1
10,4,50,8.563,1
10,4,100,9.081,1
10,4,200,9.554,1
10,5,0,10.037,1
10,5,10,10.936,1
10,5,50,11.43,1
10,5,100,11.991,1
10,5,200,12.461,1
10,6,0,12.074,1
10,6,10,12.692,1
10,6,50,13.088,1
10,6,100,13.23,1
10,6,200,13.623,1
1,1,0,11.851,2
1,1,10,12.111,2
1,1,50,12.743,2
1,1,100,13.256,2
1,1,200,13.513,2
2,1,0,5.762,2
2,1,10,7.402,2
2,1,50,7.779,2
2,1,100,7.735,2
2,1,200,8.171,2
2,2,0,15.349,2
2,2,10,15.746,2
2,2,50,16.468,2
2,2,100,16.939,2
2,2,200,17.591,2
2,3,0,11.327,2
2,3,10,12.3,2
2,3,50,12.846,2
2,3,100,12.501,2
2,3,200,12.336,2
3,1,0,9.985,2
3,1,10,11.396,2
3,1,50,12.243,2
3,1,100,12.594,2
3,1,200,13.538,2
3,2,0,10.413,2
3,2,10,11.486,2
3,2,50,11.438,2
3,2,100,12.899,2
3,2,200,13.34,2
3,3,0,11.751,2
3,3,10,12.136,2
3,3,50,12.393,2
3,3,100,13.096,2
3,3,200,13.378,2
